hoax,edar,pesan,sosial,media,informasi,sebar,kabar,berita,beranta,benar,bohong,kandung,broadcast,lansir,whatsapp,resah,viral,tidak,isu,presiden,tulis,isi,bahwa,id,kamis,masyarakat,jakarta,co,com,makan,palsu,info,hoaks,joko,imbau,widodo,jumat,facebook,partai,adalah,nilai,juli,obat,foto,jokowi,bpom,yg,sebut,jawapos,kanker,hati,ban,barat,mantan,sumber,putus,percaya,jalan,sms,tambah,bangun,dr,grup,produk,ketua,racun,detikcom,alias,naik,gubernur,tingkat,gedung,akun,kerja,minum,virus,news,sektor,pilpres,fasilitas,korupsi,politik,sesat,pilih,wakil,ekonomi,tubuh,konsumsi,ya,dpr,video,harap,persen,pernah,langkah,pasti,golkar,cawapres,rupiah,agustus,calon,kita,bantah,tempo,www,muncul,telusur,proses,jelas,investigasi,badan,ramai,laboratorium,anda,mengatasnamakan,orang,baswedan,dampak,meter,menang,mahkamah,tugas,capai,kantor,rp,cnn,masih,awas,kait,tutup,nama,sisi,agung,gerindra,caleg,dpp,mati,marak,maksud,pom,picu,diri,pada,situs,nanti,aplikasi,koordinator,proyek,resmi,kan,sambung,anies,parlemen,pks,eks,serah,bambang,negeri,tiga,hotel,hitung,jabat,banding,kominfo,panas,cantum,blackberry,rekam,rilis,gambar,ulang,messenger,serang,manfaat,go,tipu,anggar,capres,maritim,gugat,parpol,gas,jk,bakal,fokus,april,singkat,unggah,barang,atur,sehat,lanjut,bidang,pimpin,games,dorong,asi,khoax
0.039737,0.007564,0,0,0,0,0.010162,0,0.020948,0,0.009358,0,0,0,0,0,0,0.016624,0,0,0,0,0,0,0,0,0,0.004519,0,0,0,0.014937,0,0,0,0,0,0,0,0,0,0,0,0,0.104847,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008787,0,0,0,0,0,0,0,0,0.015869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027386,0,0,0,0,0,0,0,0,0,0,0,0.011972,0,0,0,0,0,0,0,0,0,0.015728,0.04133,0,0.013903,0,0,0,0,0,0,0.043442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027386,0,0,0,0,0,0,0,0.047994,0,0,0,0.041927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hoax
0.017414,0,0.010871,0,0,0.008378,0.011133,0.011617,0,0,0.010252,0,0,0,0,0,0,0,0,0.028913,0,0,0,0,0,0,0,0.009902,0,0,0,0.098189,0,0,0,0,0,0,0,0,0,0,0,0,0.114869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015002,0,0,0,0,0.012609,0,0,0,0,0,0,0.013116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015002,0.016931,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020936,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018949,0,0,0,0,0,0,0,0,0,0,hoax
0.014895,0.021264,0,0.027895,0.024565,0.014333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02089,0,0,0.03146,0,0,0.025409,0.037682,0,0,0.027995,0,0,0,0,0,0,0.019645,0,0,0,0,0,0.065502,0,0,0,0.006859,0,0,0,0.018128,0,0,0,0,0,0.01647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012832,0,0,0,0,0,0,0,0,0,0,0,0.011219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hoax
0.00831,0.015818,0,0.005187,0.018273,0,0,0.01663,0.016428,0,0.004892,0.00744,0,0,0,0,0,0,0.006293,0.006899,0,0.005827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03288,0,0,0,0.027127,0,0.06395,0,0,0,0.019134,0,0,0,0,0,0,0,0,0.008691,0.009188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098716,0,0,0.015618,0,0,0,0,0,0.008608,0,0,0,0,0,0,0,0,0,0.012546,0,0.011664,0,0,0,0,0,0,0,0,0,0,0.058603,0,0,0,0,0,0,0,0.005612,0,0,0,0,0,0,0,0,0,0,0,0,0.012806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hoax
0.023219,0,0,0,0.025528,0,0,0,0.091803,0,0,0,0,0,0,0,0,0,0.011722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041574,0,0,0,0,0,0,0,0,0,0,0,0.046362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045949,0,0,0,0,0,0,0,0,0,0.021153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055165,0,0,0,0,0,0,0,0,0,0,0,hoax
0,0.01288,0,0.008448,0.00744,0,0.008652,0.009028,0.008918,0,0,0,0.014292,0,0,0,0,0,0.003416,0,0,0,0.011401,0,0,0,0,0.011543,0,0.00544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100187,0,0.016471,0,0,0,0,0,0,0,0,0,0.015532,0,0,0.009084,0,0,0,0,0,0,0,0,0,0,0.08525,0,0,0,0,0,0,0,0,0,0,0.050683,0,0,0,0,0,0,0,0.015196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014019,0,0,0,0,0,0,hoax
0.038652,0.02341,0.017548,0,0.003863,0.020287,0.013479,0.02344,0.013893,0.007016,0,0.006292,0.014843,0,0.006716,0.016131,0.007807,0,0.001774,0,0,0,0.01184,0.005293,0,0,0.009244,0,0,0.002825,0,0.019813,0,0,0,0,0,0,0,0,0,0.005834,0,0,0,0,0,0,0,0,0,0,0.008553,0,0,0,0,0,0,0.01061,0,0,0,0,0,0.004717,0,0,0.007421,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007977,0.010214,0,0,0,0,0,0,0,0,0,0,0.006604,0,0.010586,0,0,0,0,0,0.005056,0,0,0,0.006954,0,0,0.006147,0,0.00559,0.019728,0,0,0,0.006402,0,0,0,0,0,0,0,0,0,0,0,0.007807,0,0,0,0,0,0,0,0,0,0,0.007807,0,0,0.013907,0.005293,0.02166,0,0,0,0,0.017631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007647,0,0,0.006292,0.00728,0,0.006716,0.013432,0,0,0,hoax
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011838,0,0,0,0,0,0,0,0,0,0,0,0,0.066108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020993,0,0.024524,0,0,0,0,0.053824,0,0,0,0,0.02341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02051,0,0.018652,0,0,0,0,0.021363,0,0,0,0,0,0,0,0,0.018783,0,0,0,0,0,0.015837,0,0,0,0,0,0,0,0,0,0,0,0.017661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062774,0,0,0,0,0,0,0,0,0,0.027856,0,0,0.026616,0,0,0,0,0,0,0,0,hoax
0,0.01034,0,0,0,0,0.027782,0.014494,0,0,0,0,0,0,0,0,0,0,0,0.036075,0,0.015236,0,0,0,0,0,0,0,0,0,0.020419,0,0,0,0,0,0,0,0,0,0,0,0,0.023887,0,0,0,0,0,0,0,0,0,0,0.019452,0,0,0,0,0,0,0,0,0,0,0,0.021692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073371,0,0,0,0,0,0.073191,0,0,0,0,0,0.03273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hoax
0.026026,0,0,0,0,0,0,0,0.01715,0,0,0,0,0,0,0,0,0,0.00657,0,0,0.0365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011985,0,0,0,0,0,0.028033,0.0233,0,0,0,0,0,0,0,0,0,0,0,0.025983,0.027484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hoax
