hoax,edar,pesan,sosial,media,informasi,sebar,kabar,berita,beranta,benar,bohong,kandung,broadcast,lansir,whatsapp,resah,viral,tidak,isu,presiden,tulis,isi,bahwa,id,kamis,masyarakat,jakarta,co,com,makan,palsu,info,hoaks,joko,imbau,widodo,khoax
0.039737,0.007564,0,0,0,0,0.010162,0,0.020948,0,0.009358,0,0,0,0,0,0,0.016624,0,0,0,0,0,0,0,0,0,0.004519,0,0,0,0.014937,0,0,0,0,0,hoax
0.017414,0,0.010871,0,0,0.008378,0.011133,0.011617,0,0,0.010252,0,0,0,0,0,0,0,0,0.028913,0,0,0,0,0,0,0,0.009902,0,0,0,0.098189,0,0,0,0,0,hoax
0.014895,0.021264,0,0.027895,0.024565,0.014333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02089,0,0,0.03146,0,0,0.025409,0.037682,0,0,0.027995,0,0,0,0,0,hoax
0.00831,0.015818,0,0.005187,0.018273,0,0,0.01663,0.016428,0,0.004892,0.00744,0,0,0,0,0,0,0.006293,0.006899,0,0.005827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hoax
0.023219,0,0,0,0.025528,0,0,0,0.091803,0,0,0,0,0,0,0,0,0,0.011722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hoax
0,0.01288,0,0.008448,0.00744,0,0.008652,0.009028,0.008918,0,0,0,0.014292,0,0,0,0,0,0.003416,0,0,0,0.011401,0,0,0,0,0.011543,0,0.00544,0,0,0,0,0,0,0,hoax
0.038652,0.02341,0.017548,0,0.003863,0.020287,0.013479,0.02344,0.013893,0.007016,0,0.006292,0.014843,0,0.006716,0.016131,0.007807,0,0.001774,0,0,0,0.01184,0.005293,0,0,0.009244,0,0,0.002825,0,0.019813,0,0,0,0,0,hoax
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011838,0,0,0,0,0,0,0,0,0,0,0,0,0.066108,0,0,0,0,0,hoax
0,0.01034,0,0,0,0,0.027782,0.014494,0,0,0,0,0,0,0,0,0,0,0,0.036075,0,0.015236,0,0,0,0,0,0,0,0,0,0.020419,0,0,0,0,0,hoax
0.026026,0,0,0,0,0,0,0,0.01715,0,0,0,0,0,0,0,0,0,0.00657,0,0,0.0365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hoax
0.044686,0.021264,0.027895,0.055789,0.024565,0.021499,0,0,0.029446,0,0.026308,0.040005,0,0,0,0,0,0,0,0,0,0,0.037643,0,0,0,0.039187,0,0,0.017961,0,0,0,0,0,0,0,hoax
0.005559,0.005291,0.048586,0,0,0,0.014217,0,0.007327,0.011101,0,0,0.011742,0,0,0,0,0,0,0,0,0,0.009367,0,0,0.006288,0,0.003161,0,0,0.010195,0,0,0,0,0,0,hoax
0,0.01523,0.019979,0,0,0,0.010231,0.032025,0.02109,0,0.018842,0,0.050697,0,0,0,0,0,0.004039,0,0,0.022442,0.01348,0,0,0.00905,0.007017,0.009099,0,0,0,0,0,0,0,0,0,hoax
0,0.007224,0.009477,0,0,0.007304,0.009706,0,0.010004,0,0.008938,0,0.016032,0,0.014509,0,0,0,0.007665,0.012603,0,0.010646,0,0,0,0.008586,0,0,0,0,0.02784,0,0,0,0,0,0,hoax
0.018359,0.017473,0.034382,0.011461,0,0.008833,0,0,0.012098,0,0,0.016436,0,0,0,0,0,0,0,0,0,0,0.015466,0,0,0,0.04025,0.00522,0.023223,0,0,0,0,0,0,0.017398,0,hoax
0,0,0.025344,0,0,0,0,0,0.026754,0,0.015935,0,0.028583,0.015035,0,0,0.015035,0,0.003416,0.011235,0,0,0,0.020386,0,0,0.011868,0.003848,0,0.00544,0.062044,0,0,0,0,0,0,hoax
0,0,0,0.018252,0.016073,0,0,0,0,0,0,0,0,0,0.027943,0,0,0,0.007381,0,0.041798,0.061509,0.073893,0,0.030877,0,0,0,0,0,0,0,0,0.036034,0,0,0,hoax
0.0191,0.054533,0.023845,0.023845,0,0,0,0,0,0,0.022489,0,0,0,0,0,0,0,0.009643,0,0,0,0,0,0.040339,0,0.033499,0.01086,0.048318,0,0,0,0.044849,0,0,0,0,hoax
0.012642,0.008021,0,0.005261,0.004633,0.02433,0.005388,0.005622,0,0,0.004962,0,0,0,0,0,0,0,0.002128,0,0,0.00591,0.0071,0,0,0,0,0.009585,0,0,0,0,0,0,0,0,0,hoax
0,0,0.009538,0,0,0,0,0.010193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011508,0,0,0,0.017377,0,0.006141,0,0.014359,0,0.037662,0,0,0,hoax
0.014014,0,0,0,0,0,0,0.018697,0.009235,0,0,0.025092,0,0,0,0,0,0,0.003537,0,0,0,0,0,0,0,0.012289,0.015937,0,0,0,0,0,0,0,0,0,hoax
0.006885,0,0,0,0,0.006625,0,0,0,0,0,0.012327,0,0,0.013159,0,0,0,0.003476,0,0,0,0,0,0,0,0.012075,0.00783,0.017417,0,0,0,0,0,0,0,0,hoax
0.014441,0,0.054088,0,0,0.006948,0,0.009633,0,0.086505,0,0,0,0,0,0,0,0,0.010936,0,0,0,0.012165,0,0,0.008167,0.006332,0,0,0.005804,0,0,0,0,0,0,0,hoax
0.023449,0.033476,0.043913,0.014638,0.012891,0.033845,0.029983,0.015642,0.015452,0.046821,0.041416,0,0,0,0,0,0,0,0.017758,0,0,0,0,0.017661,0,0,0.030845,0,0,0.009425,0,0,0,0,0,0.022221,0,hoax
0,0,0,0.011116,0.009789,0,0,0,0,0,0.020967,0,0.056414,0,0,0,0,0,0.00899,0.029566,0,0,0,0,0,0,0,0,0,0.007157,0.048982,0,0,0.021946,0,0,0,hoax
0,0.020125,0.0264,0.0176,0.015499,0,0,0.028212,0.00929,0,0.0083,0.025241,0,0.031322,0,0.016179,0,0,0,0,0.020153,0.009885,0,0.021236,0.014887,0,0,0,0.017832,0,0,0,0,0,0.013031,0,0.012621,hoax
0.016371,0.005194,0,0.006813,0.006,0.015753,0.006978,0,0,0,0.006425,0,0,0,0,0.012526,0,0,0.00551,0,0,0,0,0,0,0,0,0,0,0.004387,0,0,0.025628,0,0,0,0,hoax
0.006011,0.011442,0,0.007505,0.006609,0.005784,0.007686,0,0,0,0,0,0,0,0.011489,0.013797,0,0,0.015174,0.019961,0,0.00843,0,0.009055,0,0,0,0,0,0,0,0,0.056459,0,0,0,0,hoax
0.012335,0.01174,0.0616,0.0077,0.006781,0.011869,0.023658,0.008229,0,0.073889,0,0,0,0,0,0,0,0,0.003114,0.01024,0,0.00865,0,0,0,0,0.005409,0,0,0,0,0,0.028965,0,0,0,0,hoax
0.019307,0.006125,0.080348,0.008035,0.007076,0.006193,0.008229,0.008586,0,0.038551,0.007578,0,0,0,0,0,0.028599,0,0.012996,0,0,0.027077,0.010843,0,0,0,0.022575,0,0,0.005173,0,0,0,0,0,0.036592,0,hoax
0,0.010533,0,0.027634,0.024336,0.010649,0,0.02953,0,0,0.026062,0,0,0,0,0,0,0.046298,0,0,0,0,0,0,0,0,0,0,0,0.008896,0,0,0,0.054556,0,0,0,hoax
0.014802,0.014088,0,0.03696,0.032549,0,0,0.059245,0,0,0.052287,0,0,0,0,0,0,0.061923,0,0,0,0,0,0,0,0,0,0,0,0.011899,0,0,0,0.036485,0,0,0,hoax
0.03625,0.0115,0,0.015086,0.013285,0.034881,0,0,0,0,0,0,0,0,0,0,0,0.025275,0,0,0,0,0,0,0,0,0.010597,0.006871,0.030569,0,0,0,0,0,0,0,0,hoax
0,0.019544,0.017091,0,0,0.039518,0.017504,0.027397,0.009021,0,0,0.012256,0,0,0,0.047135,0,0,0.003456,0.02273,0,0,0,0,0,0.015485,0,0,0,0,0,0,0,0.067486,0,0,0,hoax
0.006615,0.012592,0.024778,0,0,0.038193,0.016918,0.017652,0,0,0,0,0,0,0,0.045555,0,0,0.00334,0.021968,0,0,0,0,0.013972,0.014965,0,0,0.016736,0,0,0,0,0.048918,0,0,0,hoax
