hoax,edar,pesan,khoax
0.039737,0.007564,0,hoax
0.017414,0,0.010871,hoax
0.014895,0.021264,0,hoax
0.00831,0.015818,0,hoax
0.023219,0,0,hoax
0,0.01288,0,hoax
0.038652,0.02341,0.017548,hoax
0,0,0,hoax
0,0.01034,0,hoax
0.026026,0,0,hoax
0.044686,0.021264,0.027895,hoax
0.005559,0.005291,0.048586,hoax
0,0.01523,0.019979,hoax
0,0.007224,0.009477,hoax
0.018359,0.017473,0.034382,hoax
0,0,0.025344,hoax
0,0,0,hoax
0.0191,0.054533,0.023845,hoax
0.012642,0.008021,0,hoax
0,0,0.009538,hoax
0.014014,0,0,hoax
0.006885,0,0,hoax
0.014441,0,0.054088,hoax
0.023449,0.033476,0.043913,hoax
0,0,0,hoax
0,0.020125,0.0264,hoax
0.016371,0.005194,0,hoax
0.006011,0.011442,0,hoax
0.012335,0.01174,0.0616,hoax
0.019307,0.006125,0.080348,hoax
0,0.010533,0,hoax
0.014802,0.014088,0,hoax
0.03625,0.0115,0,hoax
0,0.019544,0.017091,hoax
0.006615,0.012592,0.024778,hoax
0.026315,0.025045,0,hoax
0.023923,0.011384,0.0448,hoax
0,0.011384,0.0224,hoax
0.010342,0.009843,0.03228,hoax
0.011667,0.011104,0.007283,hoax
0.007921,0.003769,0.034612,hoax
0.027797,0,0,hoax
0.007947,0.015128,0.059533,hoax
0.013769,0.006552,0,hoax
0.02153,0.051228,0.01344,hoax
0,0,0.012529,hoax
0.020959,0,0,hoax
0.015895,0,0,hoax
0,0.04508,0,hoax
0.018218,0.023118,0,hoax
0.059634,0,0,hoax
0.035884,0.025614,0,hoax
0.041918,0.019947,0.052333,hoax
0.021929,0.010435,0.041067,hoax
0,0.007271,0,hoax
0.044268,0.021066,0.041451,hoax
0,0.007719,0,hoax
0.026711,0,0,hoax
0.022343,0.021264,0.013947,hoax
0.007542,0.021535,0.009417,hoax
0.020417,0.029147,0.089214,hoax
0.018218,0.026008,0.04549,hoax
0.033201,0.031598,0.082901,hoax
0.012942,0.04311,0.016157,hoax
0,0.024081,0,hoax
0.02936,0.018628,0.024437,hoax
0.011067,0.021066,0.027634,hoax
0,0.012954,0.016993,hoax
0.015581,0.007415,0.019453,hoax
0,0,0,hoax
0.005776,0.010995,0,hoax
0,0.014637,0,hoax
0,0,0,hoax
0,0.015948,0.034868,hoax
0.014802,0.014088,0,hoax
0.010965,0.010435,0,hoax
0.016917,0.0161,0,hoax
0.013305,0.012663,0.016611,hoax
0.016222,0.030877,0,hoax
0.044268,0.021066,0,hoax
0.011171,0.021264,0.013947,hoax
0.026711,0,0,hoax
0.010297,0,0,hoax
0.005263,0.015027,0,hoax
0.023683,0.02254,0.029568,hoax
0.005457,0.005194,0,hoax
0.0124,0.011801,0,hoax
0.016333,0.007772,0.061176,hoax
0.006265,0,0,hoax
0.011724,0.005579,0,hoax
0.038825,0.006159,0.040394,hoax
0,0.020616,0.027044,hoax
0.060727,0.014449,0.009477,hoax
0.031662,0,0,hoax
0.008458,0,0,hoax
0.015053,0,0,hoax
0.014182,0,0,hoax
0.028649,0,0,hoax
0.01528,0.014542,0,hoax
0.047639,0,0,hoax
0.00731,0.006957,0,hoax
0.010165,0.009674,0,hoax
0,0,0.07392,hoax
0.018503,0.01761,0.05775,hoax
0.023219,0.022098,0,hoax
0.016562,0,0.020677,hoax
0.017329,0.010995,0.050482,hoax
0.010208,0.048578,0.063725,hoax
0.006471,0.006159,0.008079,hoax
0.014802,0.014088,0.03696,hoax
0.075356,0.030737,0.0672,hoax
0.010573,0,0.0132,hoax
0.034659,0.010995,0.007212,hoax
0.017674,0.008411,0.011033,hoax
0.033514,0,0.027895,hoax
0.010965,0,0.034222,hoax
0.038199,0.024237,0.047691,hoax
0,0.015873,0.041645,hoax
0,0,0.025786,hoax
0.02153,0.010246,0.01344,hoax
0.028195,0,0.093867,hoax
0.038614,0.03675,0.144627,hoax
0,0.006332,0,hoax
0,0.009974,0.026167,hoax
0.02942,0.028,0,hoax
0,0.010063,0,hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0.019736,0.018784,0.01232,no_hoax
0.021146,0,0,no_hoax
0,0,0.010992,no_hoax
0.005559,0,0.006941,no_hoax
0.016002,0.007615,0,no_hoax
0,0.028175,0,no_hoax
0,0,0,no_hoax
0,0.0326,0.006109,no_hoax
0,0,0,no_hoax
0,0.011659,0.015294,no_hoax
0,0,0,no_hoax
0.007495,0.007133,0.028071,no_hoax
0.006401,0.024368,0,no_hoax
0,0.010533,0.013817,no_hoax
0.04155,0.003295,0.012969,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0.006669,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0.004914,0.009353,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0.005194,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0.009922,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0.006403,0,no_hoax
0,0.005418,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0.007283,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0.010533,0,no_hoax
0,0,0,no_hoax
0,0.005635,0,no_hoax
0,0,0,no_hoax
0,0.003695,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0.010992,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
0,0,0,no_hoax
